"","X.1","X","date","time","impressions","likes","shares","total_clicks","engagements","description","other_clicks","photo_views","comments","reach","vectorific","isOc","weekday"
"1",1,1,2021-01-30,"07:01",6,13,2,0,18,"Alternate text- Going to the gym for an hour every day. 
O.C.",NA,NA,3,6,1,TRUE,"Saturday"
"2",2,2,2021-01-30,"11:01",3,10,0,0,10,"",NA,NA,0,3,2,FALSE,"Saturday"
"3",3,3,2021-01-31,"10:01",44,48,15,2,70,"OC
1. Jung was right
2. Anyone who thinks Jung was right is either an astrology girl in her first psych class, or some nerd who's seen SW and LoTR too many times. Both should be avoided at all costs",2,NA,7,33,3,TRUE,"Sunday"
"4",4,4,2021-01-31,"23:01",3,18,3,0,22,"",NA,NA,1,3,4,FALSE,"Sunday"
"5",5,5,2021-02-01,"08:02",3,11,1,0,12,"",NA,NA,0,3,5,FALSE,"Monday"
"6",6,6,2021-02-01,"09:02",4,28,0,0,28,"Postmodernists be like",NA,NA,0,4,6,FALSE,"Monday"
"7",7,7,2021-02-01,"10:02",6,5,0,0,5,"This is not the pipe painting

but it is oc",NA,NA,0,6,7,TRUE,"Monday"
"8",8,8,2021-02-03,"10:02",8,5,1,1,6,"OC",NA,1,0,8,8,TRUE,"Wednesday"
"9",9,9,2021-02-03,"11:02",3,8,1,0,9,"",NA,NA,0,3,9,FALSE,"Wednesday"
"10",10,10,2021-02-04,"11:02",3,32,4,0,36,"",NA,NA,0,3,10,FALSE,"Thursday"
"11",11,11,2021-02-05,"08:02",3,15,1,0,16,"",NA,NA,0,3,11,FALSE,"Friday"
"12",12,12,2021-02-05,"10:02",63,31,15,0,46,"OC",NA,NA,0,58,12,TRUE,"Friday"
"13",13,13,2021-02-07,"11:02",50,91,41,1,137,"Freudmin circa December 2019",NA,1,5,42,13,FALSE,"Sunday"
"14",14,14,2021-02-07,"19:02",3,33,1,0,38,"",NA,NA,4,3,14,FALSE,"Sunday"
"15",15,15,2021-02-08,"21:02",3,23,5,0,28,"",NA,NA,0,3,15,FALSE,"Monday"
"16",16,16,2021-02-09,"09:02",16,17,2,0,19,"""This isn't a philosophy class, It's an Ethics Class,""
-Ethics Professors",NA,NA,0,14,16,FALSE,"Tuesday"
"17",17,17,2021-02-09,"14:02",3,8,0,0,9,"Eggs are fine and good though 

Also this is not an endorsement of skipping leg day",NA,NA,1,3,17,FALSE,"Tuesday"
"18",18,18,2021-02-09,"22:02",4,8,0,0,8,"",NA,NA,0,4,18,FALSE,"Tuesday"
"19",19,19,2021-02-10,"12:02",4,16,2,0,18,"",NA,NA,0,4,19,FALSE,"Wednesday"
"20",20,20,2021-02-10,"16:02",6,7,0,0,7,"Ya boi is convinced",NA,NA,0,6,20,FALSE,"Wednesday"
"21",21,21,2021-02-11,"07:02",6,6,1,0,7,"Descartes? Are you trying to... Catfish me?",NA,NA,0,6,21,FALSE,"Thursday"
"22",22,22,2021-02-11,"16:02",9,25,2,0,28,"OC",NA,NA,1,9,22,TRUE,"Thursday"
"23",23,23,2021-02-11,"22:02",4,27,4,0,31,"",NA,NA,0,4,23,FALSE,"Thursday"
"24",24,24,2021-02-12,"05:02",4,21,1,0,22,"",NA,NA,0,4,24,FALSE,"Friday"
"25",25,25,2021-02-12,"07:02",10,4,1,0,5,"O.O",NA,NA,0,10,25,FALSE,"Friday"
"26",26,26,2021-02-13,"07:02",232,39,105,0,147,"According to old Buddhist texts basically the way to get enlightened is do household chores.",NA,NA,3,200,26,FALSE,"Saturday"
"27",27,27,2021-02-13,"10:02",4,12,2,0,14,"",NA,NA,0,4,27,FALSE,"Saturday"
"28",28,28,2021-02-13,"14:02",4,5,0,0,5,"Low hanging fruit O.C.",NA,NA,0,4,28,TRUE,"Saturday"
"29",29,29,2021-02-13,"22:02",4,1,0,0,1,"Mood",NA,NA,0,4,29,FALSE,"Saturday"
"30",30,30,2021-02-14,"16:02",9,1,0,0,1,"Do you? I do when I see someone take the bench press I was waiting for. 
O.C. but the sculpture and picture by some other talented person.",NA,NA,0,9,30,TRUE,"Sunday"
"31",31,31,2021-02-14,"19:02",4,10,1,0,11,"",NA,NA,0,4,31,FALSE,"Sunday"
"32",32,32,2021-02-15,"08:02",4,30,1,0,33,"",NA,NA,2,4,32,FALSE,"Monday"
"33",33,33,2021-02-15,"16:02",4,13,0,0,19,"",NA,NA,6,4,33,FALSE,"Monday"
"34",34,34,2021-02-15,"17:02",128,10,2,2,12,"UwU *Reads Theory*",1,1,0,126,34,FALSE,"Monday"
"35",35,35,2021-02-16,"17:02",4,9,1,0,10,"",NA,NA,0,4,35,FALSE,"Tuesday"
"36",36,36,2021-02-17,"21:02",11,31,8,0,39,"(g)old",NA,NA,0,11,36,FALSE,"Wednesday"
"37",37,37,2021-02-17,"21:02",4,20,2,1,22,"",NA,1,0,4,37,FALSE,"Wednesday"
"38",38,38,2021-02-19,"11:02",4,6,0,0,6,"Probably a lot of you too.",NA,NA,0,4,38,FALSE,"Friday"
"39",39,39,2021-02-19,"13:02",4,22,1,0,23,"",NA,NA,0,4,39,FALSE,"Friday"
"40",40,40,2021-02-20,"15:02",5,11,0,0,11,"",NA,NA,0,5,40,FALSE,"Saturday"
"41",41,41,2021-02-21,"11:02",4,19,1,0,21,"",NA,NA,1,4,41,FALSE,"Sunday"
"42",42,42,2021-02-21,"16:02",4,22,17,0,39,"",NA,NA,0,4,42,FALSE,"Sunday"
"43",43,43,2021-02-22,"12:02",23,21,9,5,32,"",4,1,2,22,43,FALSE,"Monday"
"44",44,44,2021-02-22,"21:02",4,22,3,0,25,"",NA,NA,0,4,44,FALSE,"Monday"
"45",45,45,2021-02-23,"00:02",4,20,2,0,23,"",NA,NA,1,4,45,FALSE,"Tuesday"
"46",46,46,2021-02-23,"11:02",101,10,2,3,12,"Analytic philosophy be like",1,2,0,100,46,FALSE,"Tuesday"
"47",47,47,2021-02-23,"19:02",4,21,4,0,25,"",NA,NA,0,4,47,FALSE,"Tuesday"
"48",48,48,2021-02-23,"22:02",4,12,0,0,15,"Obviously we know exactly what this guy is talking about.",NA,NA,3,4,48,FALSE,"Tuesday"
"49",49,49,2021-02-24,"08:02",4,27,2,1,30,"",NA,1,1,4,49,FALSE,"Wednesday"
"50",50,50,2021-02-24,"11:02",4,11,1,0,12,"",NA,NA,0,4,50,FALSE,"Wednesday"
"51",51,51,2021-02-24,"11:02",14,25,1,0,26,"",NA,NA,0,11,51,FALSE,"Wednesday"
"52",52,52,2021-02-24,"19:02",4,58,12,0,72,"",NA,NA,2,4,52,FALSE,"Wednesday"
"53",53,53,2021-02-25,"17:02",4,13,3,0,16,"honk",NA,NA,0,4,53,FALSE,"Thursday"
"54",54,54,2021-02-25,"21:02",4,24,4,0,29,"",NA,NA,1,4,54,FALSE,"Thursday"
"55",55,55,2021-02-26,"12:02",14,44,8,0,56,"SMH if you're not using Sublimation to improve your deadlift.",NA,NA,4,14,55,FALSE,"Friday"
"56",56,56,2021-02-27,"11:02",4,31,5,0,36,"",NA,NA,0,4,56,FALSE,"Saturday"
"57",57,57,2021-02-28,"16:02",4,15,0,1,15,"This could be us",1,NA,0,4,57,FALSE,"Sunday"
"58",58,58,2021-02-28,"17:02",4,6,0,0,6,"",NA,NA,0,4,58,FALSE,"Sunday"
"59",59,59,2021-02-28,"20:02",4,6,0,0,6,"",NA,NA,0,4,59,FALSE,"Sunday"
"60",60,60,2021-03-01,"16:03",5,25,3,0,30,"Undergrads before the sixth meditation hits",NA,NA,2,5,60,FALSE,"Monday"
"61",61,61,2021-03-02,"09:03",4,20,4,0,24,"",NA,NA,0,4,61,FALSE,"Tuesday"
"62",62,62,2021-03-02,"11:03",4,18,2,0,20,"",NA,NA,0,4,62,FALSE,"Tuesday"
"63",63,63,2021-03-02,"14:03",8,3,0,0,3,"You kn(o)w how it be. (c)",NA,NA,0,8,63,FALSE,"Tuesday"
"64",64,64,2021-03-03,"10:03",4,7,0,0,7,"",NA,NA,0,4,64,FALSE,"Wednesday"
"65",65,65,2021-03-05,"16:03",4,12,4,0,16,"",NA,NA,0,4,65,FALSE,"Friday"
"66",66,66,2021-03-06,"10:03",5,4,0,0,4,"Freudmin circa 2018",NA,NA,0,5,66,FALSE,"Saturday"
"67",67,67,2021-03-06,"11:03",6866,73,47,94,123,"low-hanging fruit from the third meditation - Freudmin",58,36,3,6582,67,FALSE,"Saturday"
"68",68,68,2021-03-07,"09:03",6,4,0,0,5,"",NA,NA,1,5,68,FALSE,"Sunday"
"69",69,69,2021-03-07,"10:03",355,5,0,21,6,"",21,NA,1,337,69,FALSE,"Sunday"
"70",70,70,2021-03-07,"11:03",21,32,6,3,38,"",3,NA,0,16,70,FALSE,"Sunday"
"71",71,71,2021-03-07,"19:03",7,0,0,1,0,"",NA,1,0,7,71,FALSE,"Sunday"
"72",72,72,2021-03-08,"11:03",15,33,2,0,35,"not OC",NA,NA,0,13,72,TRUE,"Monday"
"73",73,73,2021-03-08,"15:03",7,4,0,0,4,"",NA,NA,0,7,73,FALSE,"Monday"
"74",74,74,2021-03-08,"20:03",8,0,0,0,0,"",NA,NA,0,8,74,FALSE,"Monday"
"75",75,75,2021-03-08,"22:03",11,17,0,0,24,"Bros I need your help. Do I eat the Haw Flakes?",NA,NA,7,11,75,FALSE,"Monday"
"76",76,76,2021-03-08,"23:03",8,3,1,0,5,"",NA,NA,1,8,76,FALSE,"Monday"
"77",77,77,2021-03-09,"14:03",10,20,5,0,28,"Sometimes When you stare into the abyss, the abyss takes over your society and hell spills out onto you and everyone around you.",NA,NA,3,10,77,TRUE,"Tuesday"
"78",78,78,2021-03-11,"12:03",7,18,0,0,18,"",NA,NA,0,7,78,FALSE,"Thursday"
"79",79,79,2021-03-11,"15:03",7,37,2,0,39,"",NA,NA,0,7,79,FALSE,"Thursday"
"80",80,80,2021-03-11,"19:03",7,21,3,0,25,"I know y'all have been skipping jaw day",NA,NA,1,7,80,FALSE,"Thursday"
"81",81,81,2021-03-12,"08:03",12,29,3,0,35,"Uh Oh! Better do something about that! Probably more facepulls TBH
O.C.",NA,NA,3,12,81,TRUE,"Friday"
"82",82,82,2021-03-12,"09:03",315,6,0,22,8,"",22,NA,2,307,82,FALSE,"Friday"
"83",83,83,2021-03-12,"11:03",7,29,10,0,39,"",NA,NA,0,7,83,FALSE,"Friday"
"84",84,84,2021-03-12,"11:03",8,24,2,0,26,"Dang. I guess the real 5 pounds of steak was the friends we made along the way.",NA,NA,0,8,84,FALSE,"Friday"
"85",85,85,2021-03-13,"18:03",8,30,1,1,31,"",NA,1,0,8,85,FALSE,"Saturday"
