"","X.1","X","date","time","impressions","likes","shares","total_clicks","engagements","description","other_clicks","photo_views","comments","reach","vectorific","isOc","weekday"
"1",1,1,2023-01-04,"10:01",48350,973,182,2709,1235,"Semi-Autobiographical OC.",1697,1011,80,47019,1,TRUE,"Wednesday"
"2",2,2,2023-01-04,"13:01",2740,26,1,135,33,"",74,61,6,2641,2,FALSE,"Wednesday"
"3",3,3,2023-01-04,"14:01",3179,127,23,327,151,"",164,148,1,3085,3,FALSE,"Wednesday"
"4",4,4,2023-01-05,"16:01",6229,197,25,392,252,"OC",281,111,30,5888,4,TRUE,"Thursday"
"5",5,5,2023-01-06,"06:01",3040,122,9,362,132,"",74,288,1,2980,5,FALSE,"Friday"
"6",6,6,2023-01-06,"15:01",2203,70,9,191,79,"",73,118,0,2130,6,FALSE,"Friday"
"7",7,7,2023-01-06,"16:01",1164,16,1,47,17,"OC. I'm cutting rn and this hit hard",12,35,0,1068,7,TRUE,"Friday"
"8",8,8,2023-01-07,"13:01",2021,60,3,88,63,"",42,46,0,1902,8,FALSE,"Saturday"
"9",9,9,2023-01-08,"15:01",1275,28,1,30,29,"OC",6,24,0,1229,9,TRUE,"Sunday"
"10",10,10,2023-01-11,"09:01",2207,52,9,98,64,"""Of course it's real, after all, we experience it in a consistent way!""",64,34,3,2030,10,FALSE,"Wednesday"
"11",11,11,2023-01-11,"11:01",1615,48,4,150,54,"",91,59,2,1573,11,FALSE,"Wednesday"
"12",12,12,2023-01-11,"12:01",3424,98,16,237,118,"",89,148,4,3221,12,FALSE,"Wednesday"
"13",13,13,2023-01-13,"05:01",1969,50,6,69,57,"OC",35,34,1,1865,13,TRUE,"Friday"
"14",14,14,2023-01-16,"05:01",1859,13,2,72,17,"OC",23,49,2,1815,14,TRUE,"Monday"
"15",15,15,2023-01-16,"10:01",1164,17,4,41,22,"O.C

Learning always gives a subtle sense of uncanniness, because it reminds you that your previous worldview was actually insufficient. It's the same experience as meeting an angel which starts it's message with the phrase ""Be not afraid."" For this reason it's terribly aesthetic and fun.",17,24,1,1048,15,TRUE,"Monday"
"16",16,16,2023-01-16,"15:01",2370,130,25,312,157,"",158,154,2,2282,16,FALSE,"Monday"
"17",17,17,2023-01-16,"16:01",2876,80,11,622,93,"",172,450,2,2788,17,FALSE,"Monday"
"18",18,18,2023-01-17,"09:01",2012,124,10,327,184,"OC",260,67,50,1907,18,TRUE,"Tuesday"
"19",19,19,2023-01-17,"21:01",2006,27,4,131,36,"Which way, British analyst?",94,37,5,1946,19,FALSE,"Tuesday"
"20",20,20,2023-01-19,"11:01",914,11,1,110,12,"",20,90,0,875,20,FALSE,"Thursday"
"21",21,21,2023-01-19,"15:01",2106,41,4,158,47,"",44,114,2,2077,21,FALSE,"Thursday"
"22",22,22,2023-01-19,"16:01",2614,110,13,236,125,"",132,104,2,2552,22,FALSE,"Thursday"
"23",23,23,2023-01-19,"20:01",1910,55,17,54,76,"OC",19,35,4,1892,23,TRUE,"Thursday"
"24",24,24,2023-01-20,"05:01",4625,68,5,236,78,"OC",149,87,5,4541,24,TRUE,"Friday"
"25",25,25,2023-01-20,"14:01",2890,92,6,166,104,"*Carnap has entered the chat (gym)*",96,70,6,2784,25,FALSE,"Friday"
"26",26,26,2023-01-20,"14:01",790,4,0,16,4,"",9,7,0,776,26,FALSE,"Friday"
"27",27,27,2023-01-21,"07:01",775,4,0,11,4,"Hmm... 🤔 But we think you look just touch-fine. So long as you're safe about it, I guess.",2,9,0,681,27,FALSE,"Saturday"
"28",28,28,2023-01-21,"12:01",3343,119,16,251,141,"O.C.",166,85,6,3255,28,TRUE,"Saturday"
"29",29,29,2023-01-22,"12:01",2219,105,10,248,159,"FREE WILL TOTALLY EXISTS! IT'S NOT JUST AN INCOHERENT FANTASY THAT I MADE UP AS A WAY TO PRESERVE MY SELF IMAGE",183,65,44,2141,29,FALSE,"Sunday"
